Date District Total Confirmed Asymptomatic
2022-04-11 徐汇区 1771 48 1723
2022-04-11 长宁区 393 25 368
2022-04-11 普陀区 1878 37 1841
2022-04-11 虹口区 1375 25 1350
2022-04-11 杨浦区 1420 30 1390
2022-04-11 宝山区 1024 47 977
2022-04-11 闵行区 3007 68 2939
2022-04-11 嘉定区 208 43 165
2022-04-11 金山区 38 3 35
2022-04-11 松江区 691 21 670
2022-04-11 青浦区 331 7 324
2022-04-11 奉贤区 68 4 64
2022-04-11 崇明区 57 6 51
2022-04-12 浦东新区 11049 192 10857
2022-04-12 黄浦区 1804 74 1730
2022-04-12 静安区 1056 75 981
2022-04-12 徐汇区 1108 56 1052
2022-04-12 长宁区 1133 90 1043
2022-04-12 普陀区 1170 50 1120
2022-04-12 虹口区 931 83 848
2022-04-12 杨浦区 1159 60 1099
2022-04-12 宝山区 295 16 279
2022-04-12 闵行区 4245 280 3965
2022-04-12 嘉定区 986 42 944
2022-04-12 金山区 39 3 36
2022-04-12 松江区 712 77 635
2022-04-12 青浦区 524 61 463
2022-04-12 奉贤区 33 1 32
2022-04-12 崇明区 86 29 57
2022-04-13 浦东新区 15027 1139 13888
2022-04-13 黄浦区 1408 227 1181
2022-04-13 静安区 220 49 171
2022-04-13 徐汇区 1492 143 1349
2022-04-13 长宁区 957 105 852
2022-04-13 普陀区 475 45 430
2022-04-13 虹口区 1488 121 1367
2022-04-13 杨浦区 1185 54 1131
2022-04-13 宝山区 651 13 638
2022-04-13 闵行区 2939 372 2567
2022-04-13 嘉定区 721 54 667
2022-04-13 金山区 34 12 22
2022-04-13 松江区 657 131 526
2022-04-13 青浦区 319 99 220
2022-04-13 奉贤区 83 2 81
2022-04-13 崇明区 63 7 56
2022-04-14 浦东新区 11656 1252 10404
2022-04-14 黄浦区 2013 268 1745
2022-04-14 静安区 266 70 196
2022-04-14 徐汇区 1342 293 1049
2022-04-14 长宁区 998 148 850
2022-04-14 普陀区 264 45 219
2022-04-14 虹口区 930 174 756
2022-04-14 杨浦区 817 48 769
2022-04-14 宝山区 417 50 367
2022-04-14 闵行区 2378 274 2104
2022-04-14 嘉定区 803 200 603
2022-04-14 金山区 28 23 5
2022-04-14 松江区 761 178 583
2022-04-14 青浦区 304 128 176
2022-04-14 奉贤区 35 20 15
2022-04-14 崇明区 60 29 31
2022-04-15 浦东新区 10282 1142 9140
2022-04-15 黄浦区 1384 246 1138
2022-04-15 静安区 433 92 341
2022-04-15 徐汇区 1689 277 1412
2022-04-15 长宁区 752 233 519
2022-04-15 普陀区 426 66 360
2022-04-15 虹口区 1497 287 1210
2022-04-15 杨浦区 1411 275 1136
2022-04-15 宝山区 1323 74 1249
2022-04-15 闵行区 2037 301 1736
2022-04-15 嘉定区 741 173 568
2022-04-15 金山区 31 21 10
2022-04-15 松江区 773 198 575
2022-04-15 青浦区 536 131 405
2022-04-15 奉贤区 106 23 83
2022-04-15 崇明区 92 51 41
2022-04-16 浦东新区 10791 1002 9789
2022-04-16 黄浦区 1565 188 1377
2022-04-16 静安区 1134 143 991
2022-04-16 徐汇区 1532 170 1362
2022-04-16 长宁区 706 127 579
2022-04-16 普陀区 1331 145 1186
2022-04-16 虹口区 1027 157 870
2022-04-16 杨浦区 860 84 776
2022-04-16 宝山区 1293 51 1242
2022-04-16 闵行区 3060 890 2170
2022-04-16 嘉定区 685 103 582
2022-04-16 金山区 21 9 12
2022-04-16 松江区 410 87 323
2022-04-16 青浦区 305 46 259
2022-04-16 奉贤区 51 23 28
2022-04-16 崇明区 49 13 36
2022-04-17 浦东新区 7740 521 7219
2022-04-17 黄浦区 1896 186 1710
2022-04-17 静安区 842 127 715
2022-04-17 徐汇区 1553 167 1386
2022-04-17 长宁区 739 62 677
2022-04-17 普陀区 1225 330 895
2022-04-17 虹口区 1166 266 900
2022-04-17 杨浦区 887 26 861
2022-04-17 宝山区 1450 85 1365
2022-04-17 闵行区 2402 106 2296
2022-04-17 嘉定区 978 356 622
2022-04-17 金山区 24 5 19
2022-04-17 松江区 905 153 752
2022-04-17 青浦区 369 17 352
2022-04-17 奉贤区 20 1 19
2022-04-17 崇明区 52 9 43
2022-04-18 浦东新区 8831 1075 7756
2022-04-18 黄浦区 3323 362 2961
2022-04-18 静安区 1010 203 807
2022-04-18 徐汇区 572 68 504
2022-04-18 长宁区 680 193 487
2022-04-18 普陀区 371 21 350
2022-04-18 虹口区 1092 233 859
2022-04-18 杨浦区 481 64 417
2022-04-18 宝山区 1030 203 827
2022-04-18 闵行区 1372 312 1060
2022-04-18 嘉定区 588 72 516
2022-04-18 金山区 7 3 4
2022-04-18 松江区 762 191 571
2022-04-18 青浦区 257 77 180
2022-04-18 奉贤区 14 2 12
2022-04-18 崇明区 26 5 21
2022-04-19 浦东新区 5646 720 4926
2022-04-19 黄浦区 3084 368 2716
2022-04-19 静安区 1733 205 1528
2022-04-19 徐汇区 1608 144 1464
2022-04-19 长宁区 618 53 565
2022-04-19 普陀区 528 100 428
2022-04-19 虹口区 753 148 605
2022-04-19 杨浦区 766 64 702
2022-04-19 宝山区 957 41 916
2022-04-19 闵行区 1602 389 1213
2022-04-19 嘉定区 743 104 639
2022-04-19 金山区 9 1 8
2022-04-19 松江区 325 58 267
2022-04-19 青浦区 389 72 317
2022-04-19 奉贤区 60 2 58
2022-04-19 崇明区 80 25 55
2022-04-20 浦东新区 4465 756 3709
2022-04-20 黄浦区 3097 252 2845
2022-04-20 静安区 1130 164 966
2022-04-20 徐汇区 1447 191 1256
2022-04-20 长宁区 726 123 603
2022-04-20 普陀区 555 49 506
2022-04-20 虹口区 832 102 730
